ds,trend_x,yhat_lower_x,yhat_upper_x,trend_lower_x,trend_upper_x,additive_terms_x,additive_terms_lower_x,additive_terms_upper_x,weekly_x,weekly_lower_x,weekly_upper_x,multiplicative_terms_x,multiplicative_terms_lower_x,multiplicative_terms_upper_x,yhat_x,trend_y,yhat_lower_y,yhat_upper_y,trend_lower_y,trend_upper_y,additive_terms_y,additive_terms_lower_y,additive_terms_upper_y,weekly_y,weekly_lower_y,weekly_upper_y,multiplicative_terms_y,multiplicative_terms_lower_y,multiplicative_terms_upper_y,yhat_y
2020-02-22,-1201.8123317847223,-129168.83798778734,124563.9622156392,-1201.8123317847223,-1201.8123317847223,-958.6224832610532,-958.6224832610532,-958.6224832610532,-958.6224832610532,-958.6224832610532,-958.6224832610532,0.0,0.0,0.0,-2160.4348150457754,-17.46376541068155,-255.21784859635912,227.07256862845938,-17.46376541068155,-17.46376541068155,12.084601807934229,12.084601807934229,12.084601807934229,12.084601807934229,12.084601807934229,12.084601807934229,0.0,0.0,0.0,-5.379163602747321
2020-02-23,-1079.4763643484298,-113604.18044866578,123108.98071949411,-1079.4763643484298,-1079.4763643484298,5213.883094109041,5213.883094109041,5213.883094109041,5213.883094109041,5213.883094109041,5213.883094109041,0.0,0.0,0.0,4134.406729760611,-16.26378209415301,-243.77591854360793,221.29686969228803,-16.26378209415301,-16.26378209415301,-7.8987697920072835,-7.8987697920072835,-7.8987697920072835,-7.8987697920072835,-7.8987697920072835,-7.8987697920072835,0.0,0.0,0.0,-24.162551886160294
2020-02-24,-957.1403969121367,-116695.00378101126,124822.88748585634,-957.1403969121367,-957.1403969121367,3825.0379406370735,3825.0379406370735,3825.0379406370735,3825.0379406370735,3825.0379406370735,3825.0379406370735,0.0,0.0,0.0,2867.897543724937,-15.063798777624468,-273.19029257527455,176.11724130627502,-15.063798777624468,-15.063798777624468,-30.27339691765236,-30.27339691765236,-30.27339691765236,-30.27339691765236,-30.27339691765236,-30.27339691765236,0.0,0.0,0.0,-45.337195695276826
2020-02-25,-834.8044294758446,-125159.72897218328,124353.70954620758,-834.8044294758446,-834.8044294758446,-1338.5346218800103,-1338.5346218800103,-1338.5346218800103,-1338.5346218800103,-1338.5346218800103,-1338.5346218800103,0.0,0.0,0.0,-2173.3390513558547,-13.863815461095932,-295.43960014143113,178.1338766331248,-13.863815461095932,-13.863815461095932,-48.89881395343216,-48.89881395343216,-48.89881395343216,-48.89881395343216,-48.89881395343216,-48.89881395343216,0.0,0.0,0.0,-62.76262941452809
2020-02-26,-712.4684620395515,-127926.98902133465,97620.42084886154,-712.4684620395515,-712.4684620395515,-3239.9843177529688,-3239.9843177529688,-3239.9843177529688,-3239.9843177529688,-3239.9843177529688,-3239.9843177529688,0.0,0.0,0.0,-3952.4527797925202,-12.663832144567388,-208.24548447030975,261.97053298610194,-12.663832144567388,-12.663832144567388,42.78292040563646,42.78292040563646,42.78292040563646,42.78292040563646,42.78292040563646,42.78292040563646,0.0,0.0,0.0,30.119088261069074
2020-02-27,-590.1324946032588,-120959.96106704487,110796.73656980196,-590.1324946032588,-590.1324946032588,-2198.8428896396235,-2198.8428896396235,-2198.8428896396235,-2198.8428896396235,-2198.8428896396235,-2198.8428896396235,0.0,0.0,0.0,-2788.9753842428822,-11.463848828038849,-221.50347488000062,250.20891248866317,-11.463848828038849,-11.463848828038849,16.917987730004892,16.917987730004892,16.917987730004892,16.917987730004892,16.917987730004892,16.917987730004892,0.0,0.0,0.0,5.454138901966044
2020-02-28,-467.79652716696575,-114865.98290179881,127915.09246406944,-467.79652716696575,-467.79652716696575,-1302.9367222178948,-1302.9367222178948,-1302.9367222178948,-1302.9367222178948,-1302.9367222178948,-1302.9367222178948,0.0,0.0,0.0,-1770.7332493848605,-10.263865511510305,-216.19558793662713,239.1146876762977,-10.263865511510305,-10.263865511510305,15.285470719346216,15.285470719346216,15.285470719346216,15.285470719346216,15.285470719346216,15.285470719346216,0.0,0.0,0.0,5.021605207835911
2020-02-29,-345.4605597306736,-127521.44660512639,128359.76759889898,-345.4605597306736,-345.4605597306736,-958.6224832580225,-958.6224832580225,-958.6224832580225,-958.6224832580225,-958.6224832580225,-958.6224832580225,0.0,0.0,0.0,-1304.083042988696,-9.063882194981769,-221.79769401654488,229.7762663602431,-9.063882194981769,-9.063882194981769,12.084601807840446,12.084601807840446,12.084601807840446,12.084601807840446,12.084601807840446,12.084601807840446,0.0,0.0,0.0,3.0207196128586773
2020-03-01,-223.1242004355577,-120675.272911987,127493.30940388048,-223.1242004355577,-223.1242004355577,5213.883094098675,5213.883094098675,5213.883094098675,5213.883094098675,5213.883094098675,5213.883094098675,0.0,0.0,0.0,4990.758893663117,-7.863898870259818,-253.41481002517563,203.38410263208544,-7.863898870259818,-7.863898870259818,-7.898769791786594,-7.898769791786594,-7.898769791786594,-7.898769791786594,-7.898769791786594,-7.898769791786594,0.0,0.0,0.0,-15.762668662046412
2020-03-02,-100.7878411404418,-114525.54343912839,117648.79400862844,-100.7878411404418,-100.7878411404418,3825.037940634755,3825.037940634755,3825.037940634755,3825.037940634755,3825.037940634755,3825.037940634755,0.0,0.0,0.0,3724.2500994943134,-6.663915545537867,-255.2495439315305,196.37825791797223,-6.663915545537867,-6.663915545537867,-30.273396917654203,-30.273396917654203,-30.273396917654203,-30.273396917654203,-30.273396917654203,-30.273396917654203,0.0,0.0,0.0,-36.93731246319207
